Level: State
Unit:Per Capita (dollars), Real (2020$)
State,Year,(R63) Liquor Stores Revenue (A90),(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E036) Educational Assistance (E19),(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E106) Liquor Store and Utility Expend,(E107) Liquor Stores-Tot Exp,(E108) Liquor Stores-Cur Oper (E90),(E109) Liquor Stores-Cap Out
Alabama,1977.0,$            121,$            758,$            616,$             19,$             22,$             20,$              2,$            414,$            315,$             99,$            112,$            112,$            112,$              0
Alabama,1978.0,$            104,$            756,$            655,$             15,$             23,$             21,$              2,$            387,$            296,$             91,$            117,$            117,$            116,$              0
Alabama,1979.0,$            112,$            721,$            621,$             18,$             23,$             22,$              1,$            400,$            285,$            115,$             98,$             98,$             98,$              0
Alabama,1980.0,$            102,$            687,$            595,$             18,$             24,$             21,$              2,$            435,$            311,$            124,$             95,$             95,$             95,$              0
Alabama,1981.0,$             85,$            680,$            584,$             17,$             24,$             22,$              3,$            377,$            277,$            100,$             83,$             83,$             82,$              1
Alabama,1982.0,$             82,$            758,$            601,$             19,$             24,$             23,$              1,$            364,$            277,$             86,$             81,$             81,$             81,$              0
Alabama,1983.0,$             89,$            777,$            632,$             17,$             25,$             23,$              2,$            362,$            278,$             83,$             82,$             82,$             81,$              1
Alabama,1984.0,$             85,$            743,$            619,$             18,$             22,$             21,$              1,$            365,$            287,$             77,$             77,$             77,$             77,$              1
Alabama,1985.0,$             83,$            804,$            704,$             19,$             24,$             23,$              2,$            396,$            322,$             74,$             74,$             74,$             73,$              1
Alabama,1986.0,$             84,$            889,$            786,$             22,$             26,$             24,$              2,$            380,$            305,$             75,$             80,$             80,$             80,$              0
Alabama,1987.0,$             79,$            855,$            752,$             24,$             25,$             24,$              1,$            355,$            287,$             67,$             74,$             74,$             74,$              0
Alabama,1988.0,$             77,$            905,$            797,$             23,$             24,$             23,$              1,$            368,$            302,$             65,$             67,$             67,$             66,$              1
Alabama,1989.0,$             72,$            854,$            748,$             24,$             26,$             24,$              2,$            399,$            332,$             64,$             65,$             65,$             64,$              1
Alabama,1990.0,$            101,$            889,$            770,$             26,$             26,$             23,$              3,$            511,$            440,$             69,$             62,$             62,$             62,$              1
Alabama,1991.0,$             69,$            869,$            762,$             25,$             30,$             29,$              1,$            626,$            548,$             76,$             63,$             63,$             63,$              0
Alabama,1992.0,$             68,$            831,$            743,$             29,$             29,$             29,$              1,$            819,$            724,$             93,$             61,$             61,$             61,$              0
Alabama,1993.0,$             55,$            816,$            713,$             32,$             28,$             27,$              1,$            853,$            753,$             99,$             60,$             60,$             60,$              0
Alabama,1994.0,$             53,$            861,$            758,$             34,$             31,$             29,$              2,$            885,$            787,$             95,$             53,$             53,$             53,$              0
Alabama,1995.0,$             51,$            893,$            781,$             43,$             29,$             27,$              2,$            902,$            821,$             77,$             55,$             55,$             55,$              0
