Total Admissions Per 100k (1983)
STATE,YEAR,VALUE
FEDERAL,1983,7.693155354854661
NEW HAMPSHIRE,1983,29.641288227085667
HAWAII,1983,31.499421852304245
MINNESOTA,1983,35.73631908669558
NEBRASKA,1983,38.69211804315086
MASSACHUSETTS,1983,43.84926543427757
NORTH DAKOTA,1983,45.95934592905118
WEST VIRGINIA,1983,47.35062702306968
PENNSYLVANIA,1983,48.31998099639349
RHODE ISLAND,1983,53.32641832588506
MAINE,1983,53.984784676707136
UTAH,1983,54.359547969322904
VERMONT,1983,55.22560327761089
MONTANA,1983,55.89495188734526
WISCONSIN,1983,56.105609862048816
WASHINGTON,1983,65.01911273560708
IOWA,1983,68.62786765202814
WYOMING,1983,70.73868034150519
COLORADO,1983,74.96101165772974
SOUTH DAKOTA,1983,76.91375269847501
MISSOURI,1983,80.64754293010101
MICHIGAN,1983,80.73816232647927
NEW JERSEY,1983,80.80013830026986
NEW YORK,1983,83.37794253972368
INDIANA,1983,85.07627784587672
IDAHO,1983,88.81121302673095
CONNECTICUT,1983,89.01619240905328
ILLINOIS,1983,94.04986062564457
KANSAS,1983,95.67207042060522
NEW MEXICO,1983,96.53229600559973
ARKANSAS,1983,96.67115543498767
KENTUCKY,1983,99.87854876739314
TENNESSEE,1983,99.96222981441105
VIRGINIA,1983,100.88657628087225
LOUISIANA,1983,103.24613304781766
OHIO,1983,103.33729354077656
MARYLAND,1983,105.60298609541363
CALIFORNIA,1983,108.48158315051639
MISSISSIPPI,1983,110.29166927921358
ARIZONA,1983,111.48790204693135
OREGON,1983,112.54932513751108
ALABAMA,1983,118.50205472192053
DELAWARE,1983,121.404325958227
SOUTH CAROLINA,1983,129.49598911837907
OKLAHOMA,1983,137.15636828901
TEXAS,1983,145.12081646029003
NORTH CAROLINA,1983,147.1596847955726
NEVADA,1983,164.8606279116693
FLORIDA,1983,165.91813117913875
GEORGIA,1983,174.93956284137744
ALASKA,1983,176.89874389607198
DISTRICT OF COLUMBIA,1983,407.3107214744142
